Effect												
)												
	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
VARIABLES	exp_dens_share	exp_dens_share	exp_dens_share	exp_dens_share	cabinet_index	cabinet_index	cabinet_index	cabinet_index	exp_dens_share	exp_dens_share	exp_dens_share	exp_dens_share
												
president	1.00***	1.72***	1.40**	2.60***	0.65***	0.64***	0.92***	1.08***	1.40**	1.70***	1.40**	1.72***
	[0.350]	[0.489]	[0.578]	[0.717]	[0.173]	[0.130]	[0.083]	[0.313]	[0.578]	[0.500]	[0.578]	[0.494]
presidentMP		-1.32**		-1.63**		0.02		0.03		-1.28*		-1.32**
		[0.623]		[0.683]		[0.278]		[0.291]		[0.662]		[0.587]
multiparty		-0.02		0.26						-0.06		-0.02
		[0.451]		[0.498]						[0.504]		[0.384]
pop1962_t	-0.00*	-0.00*	-0.00*	-0.00**					-0.00*	-0.00**	-0.00*	-0.00**
	[0.000]	[0.000]	[0.000]	[0.000]					[0.000]	[0.000]	[0.000]	[0.000]
area_t	-0.00	-0.00	-0.00	-0.00					-0.00	-0.00	-0.00	-0.00
	[0.000]	[0.000]	[0.000]	[0.000]					[0.000]	[0.000]	[0.000]	[0.000]
urbrate1962_t	0.00	0.00	0.00	0.00					0.00	0.00	0.00	0.00
	[0.001]	[0.001]	[0.001]	[0.001]					[0.001]	[0.001]	[0.001]	[0.001]
earnings_t	-0.00	-0.00	-0.00	-0.00					-0.00	-0.00	-0.00	-0.00
	[0.002]	[0.002]	[0.002]	[0.002]					[0.002]	[0.002]	[0.002]	[0.002]
wage_employment_t	-0.00	-0.00	-0.00	0.00					-0.00	-0.00	-0.00	-0.00
	[0.000]	[0.000]	[0.000]	[0.000]					[0.000]	[0.000]	[0.000]	[0.000]
value_cashcrops_t	-0.00	0.00	0.00	0.00					0.00	0.00	0.00	0.00
	[0.000]	[0.000]	[0.000]	[0.000]					[0.000]	[0.000]	[0.000]	[0.000]
year	0.06**	0.07***	0.06**	0.08***					0.06**	0.07***	0.06**	0.07***
	[0.024]	[0.024]	[0.024]	[0.025]					[0.024]	[0.023]	[0.024]	[0.023]
_IMomXyear_1	0.01	0.01	0.01	0.01					0.01	0.01	0.01	0.01
	[0.019]	[0.018]	[0.019]	[0.019]					[0.019]	[0.018]	[0.019]	[0.019]
_IborXyear_1	0.01	0.01	0.01	0.00					0.01	0.01	0.01	0.01
	[0.020]	[0.019]	[0.020]	[0.019]					[0.020]	[0.020]	[0.020]	[0.019]
dist2nairobi_t	-0.00	-0.00	-0.00	-0.00					-0.00	-0.00	-0.00	-0.00
	[0.000]	[0.000]	[0.000]	[0.000]					[0.000]	[0.000]	[0.000]	[0.000]
_Iyear_1964	-0.05	-0.05	-0.09	-0.05	0.01	0.01	-0.02	-0.01	-0.09	-0.05	-0.09	-0.05
	[0.143]	[0.143]	[0.146]	[0.148]	[0.185]	[0.186]	[0.194]	[0.189]	[0.146]	[0.143]	[0.146]	[0.143]
_Iyear_1965	-0.02	-0.02	-0.05	-0.02					-0.05	-0.02	-0.05	-0.02
	[0.173]	[0.173]	[0.183]	[0.186]					[0.183]	[0.173]	[0.183]	[0.173]
_Iyear_1966	0.02	0.02	-0.02	0.02	0.19	0.19	0.16	0.16	-0.02	0.02	-0.02	0.02
	[0.185]	[0.185]	[0.192]	[0.195]	[0.287]	[0.288]	[0.284]	[0.285]	[0.192]	[0.185]	[0.192]	[0.185]
_Iyear_1967	0.11	0.11	0.09	0.11					0.09	0.11	0.09	0.11
	[0.238]	[0.238]	[0.240]	[0.243]					[0.240]	[0.238]	[0.240]	[0.238]
_Iyear_1968	0.68	0.68	0.61	0.68					0.61	0.68	0.61	0.68
	[0.568]	[0.568]	[0.592]	[0.603]					[0.592]	[0.568]	[0.592]	[0.568]
_Iyear_1969	0.63	0.63	0.56	0.63	-0.05	-0.04	-0.08	-0.11	0.56	0.63	0.56	0.63
	[0.563]	[0.563]	[0.582]	[0.592]	[0.435]	[0.454]	[0.435]	[0.464]	[0.582]	[0.563]	[0.582]	[0.563]
_Iyear_1970	0.22	-0.03	0.15	-0.01					0.15	-0.03	0.15	-0.03
	[0.209]	[0.461]	[0.220]	[0.467]					[0.220]	[0.460]	[0.220]	[0.461]
