Effect										
)										
	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	change_paved_share	change_paved_share	change_paved_share	change_paved_share	change_paved_share	change_paved_share	change_paved_share	change_paved_share	change_paved_share	change_paved_share
										
president	1.91**	3.00**	1.94*	3.03**	2.20*	3.19**	3.71**	4.26**	3.92*	3.28
	[0.943]	[1.233]	[0.991]	[1.265]	[1.090]	[1.326]	[1.691]	[1.744]	[2.202]	[2.209]
o._Idistnum_2									-	-
										
o._Idistnum_3									-	-
										
o._Idistnum_4									-	-
										
o._Idistnum_5									-	-
										
o._Idistnum_6									-	-
										
o._Idistnum_7									-	-
										
o._Idistnum_8									-	-
										
o._Idistnum_9									-	-
										
o._Idistnum_10									-	-
										
o._Idistnum_11									-	-
										
o._Idistnum_12									-	-
										
o._Idistnum_13									-	-
										
o._Idistnum_14									-	-
										
o._Idistnum_15									-	-
										
o._Idistnum_16									-	-
										
o._Idistnum_17									-	-
										
o._Idistnum_18									-	-
										
o._Idistnum_19									-	-
										
o._Idistnum_20									-	-
										
o._Idistnum_21									-	-
										
o._Idistnum_22									-	-
										
o._Idistnum_23									-	-
										
o._Idistnum_24									-	-
										
o._Idistnum_25									-	-
										
o._Idistnum_26									-	-
										
o._Idistnum_27									-	-
										
o._Idistnum_28									-	-
										
o._Idistnum_29									-	-
										
o._Idistnum_30									-	-
										
o._Idistnum_31									-	-
										
o._Idistnum_32									-	-
										
o._Idistnum_33									-	-
										
o._Idistnum_34									-	-
										
o._Idistnum_35									-	-
										
o._Idistnum_36									-	-
										
o._Idistnum_37									-	-
										
o._Idistnum_38									-	-
										
o._Idistnum_39									-	-
										
o._Idistnum_40									-	-
										
o._Idistnum_41									-	-
										
year							0.11	0.09	-0.02	0.07
							[0.179]	[0.182]	[0.087]	[0.096]
_IdisXyear_2									-0.00	-0.09
									[0.087]	[0.094]
_IdisXyear_3									0.03	-0.06
									[0.087]	[0.094]
_IdisXyear_4									-0.06***	-0.06***
									[0.000]	[0.000]
_IdisXyear_5									0.09	0.00
									[0.087]	[0.094]
_IdisXyear_6									0.02	-0.07
									[0.087]	[0.094]
_IdisXyear_7									0.01	-0.08
									[0.087]	[0.094]
_IdisXyear_8									-0.53***	-0.62***
									[0.087]	[0.094]
